BERÇO;CARGA;EMBARQUE;DESEMBARQUE
ALAMOA I;GLP;;150
ALAMOA I;PETRÓLEO E DERIVADOS;280;
ALAMOA II;ETANOL;150;150
ALAMOA II;GLP;;110
ALAMOA II;SODA CÁUSTICA;115;115
ALAMOA II;OUTROS GRANÉIS LÍQUIDOS;100;100
ALAMOA II;QUÍMICOS;120;120
ALAMOA II;PETRÓLEO E DERIVADOS;150;150
ALAMOA III;ETANOL;150;150
ALAMOA III;OUTROS GRANÉIS LÍQUIDOS;115;115
ALAMOA III;SODA CÁUSTICA;100;100
ALAMOA III;QUÍMICOS;120;120
ALAMOA III;PETRÓLEO E DERIVADOS;150;150
ALAMOA IV;ETANOL;150;150
ALAMOA IV;PETRÓLEO E DERIVADOS;115;115
ALAMOA IV;OUTROS GRANÉIS LÍQUIDOS;100;100
ALAMOA IV;SODA CÁUSTICA;120;120
ALAMOA IV;QUÍMICOS;150;150
IB SÃO PAULO;OUTROS GRANÉIS LÍQUIDOS;130;140
IB SÃO PAULO;ETANOL;150;150
IB SÃO PAULO;PETRÓLEO E DERIVADOS;150;150
IB SÃO PAULO;QUÍMICOS;120;120
IB SÃO PAULO;SODA CÁUSTICA;100;100
IB BOCAINA;OUTROS GRANÉIS LÍQUIDOS;100;100
IB BOCAINA;ETANOL;150;150
IB BOCAINA;PETRÓLEO E DERIVADOS;150;150
IB BOCAINA;QUÍMICOS;120;120
IB BOCAINA;SODA CÁUSTICA;120;100
SABOÓ I;FERTILIZANTES;;145
SABOÓ I;CELULOSE;160;
SABOÓ II;FERTILIZANTES;;145
SABOÓ II;CELULOSE;160;
SABOÓ III;FERTILIZANTES;;145
SABOÓ III;CELULOSE;160;
ARMAZÉM 12A;SAL;;180
ARMAZÉM 12A;FERTILIZANTES;;145
ARMAZÉM 12A;TRIGO;;140
ARMAZÉM 12A;GRÃOS;350;
ARMAZÉM 13/14;OUTROS GRANÉIS SÓLIDOS;;145
ARMAZÉM 13/14;TRIGO;;140
ARMAZÉM 13/14;FERTILIZANTES;;145
ARMAZÉM 15;FERTILIZANTES;;145
ARMAZÉM 15;OUTROS GRANÉIS SÓLIDOS;;145
ARMAZÉM 15;CELULOSE;160;
ARMAZÉM 16/17;GRÃOS;350;
ARMAZÉM 16/17;AÇÚCAR;490;
ARMAZÉM 19;AÇÚCAR;360;
ARMAZÉM 19;GRÃOS;465;
ARMAZÉM 20/21;AÇÚCAR;455;
ARMAZÉM 20/21;GRÃOS;500;
ARMAZÉM 22;SAL;;190
ARMAZÉM 23;FERTILIZANTES;;145
ARMAZÉM 23;OUTROS GRANÉIS SÓLIDOS;;160
ARMAZÉM 25;FERTILIZANTES;;145
ARMAZÉM 25;OUTROS GRANÉIS SÓLIDOS;;145
ARMAZÉM 25;SAL;;240
ARMAZÉM 25;CELULOSE;160;
OUTEIRINHOS 3;FERTILIZANTES;;145
OUTEIRINHOS 3;GRÃOS;350;
OUTEIRINHOS 2;CELULOSE;175;
ARMAZÉM 29;SUCOS;130;
ARMAZÉM 29;FERTILIZANTES;;145
ARMAZÉM 29;CELULOSE;160;
ARMAZÉM 29;SAL;;180
ARMAZÉM 29/30;FERTILIZANTES;;145
ARMAZÉM 29/30;TRIGO;;140
ARMAZÉM 29/30;CELULOSE;160;
ARMAZÉM 29/30;SUCOS;170;
ARMAZÉM 29/30;SAL;;180
ARMAZÉM 31;FERTILIZANTES;;145
ARMAZÉM 31;CELULOSE;160;
ARMAZÉM 31;SAL;;180
ARMAZÉM 31/32;FERTILIZANTES;;145
ARMAZÉM 31/32;CELULOSE;160;
ARMAZÉM 31/32;SAL;;180
ARMAZÉM 32;FERTILIZANTES;;145
ARMAZÉM 32;CELULOSE;160;
ARMAZÉM 32;SAL;;180
ARMAZÉM 33;FERTILIZANTES;;145
ARMAZÉM 33;CELULOSE;160;
ARMAZÉM 33;SAL;;180
ARMAZÉM 33/34;FERTILIZANTES;;145
ARMAZÉM 33/34;CELULOSE;160;
ARMAZÉM 33/34;SAL;;180
ARMAZÉM 35/35.1/35.2;FERTILIZANTES;;145
ARMAZÉM 35/35.1/35.2;CELULOSE;160;
ARMAZÉM 35/35.1/35.2;SAL;;180
ARMAZÉM 38;FARELO DE SOJA;255;
ARMAZÉM 38;GRÃOS;350;
ARMAZÉM 39;FARELO DE SOJA;255;
ARMAZÉM 39;GRÃOS;420;
TEV;CONTÊINER;;220
TEV;VEÍCULOS AUTOMÓVEIS;55;40
ARMAZÉM 32;SAL;;180
ARMAZÉM 32;CELULOSE;160;
ARMAZÉM 33;FERTILIZANTES;;145
ARMAZÉM 33;SAL;;180
ARMAZÉM 38;FARELO DE SOJA;255;
ARMAZÉM 38;GRÃOS;350;
ARMAZÉM 39;FARELO DE SOJA;255;
ARMAZÉM 39;GRÃOS;420;
TEV;CONTÊINER;;220
TEV;VEÍCULOS AUTOMÓVEIS;55;40